"","State","Population","Number_of_crimes","Percentage_of_crimes","Violent_crime","Murder_and_nonnegligent_manslaughter","Rape_type_1","Rape_type_2","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Unemployment_rate","Longitude","Latitude","Injured_weapon","Killed_weapon"
"1","     Alabama",4863300,339881,0.069886908,0.005323,8.4e-05,0.000394,0.000285,0.000964,0.003882,0.029478,0.007005,0.020063,0.002411,5.8,-86.79113,32.806671,499.667,313.333
"2","     Alaska",741894,62441,0.084164315,0.008042,7e-05,0.001419,0.00102,0.001146,0.005406,0.03353,0.005463,0.023947,0.004121,6.9,-152.404419,61.370716,54.167,44.5
"3","     Arizona",6931071,480482,0.069322908,0.004701,5.5e-05,0.000475,0.000354,0.001018,0.003154,0.029784,0.005444,0.021681,0.002658,5.4,-111.431221,33.729759,182.667,182.333
"4","     Arkansas",2988248,229813,0.076905598,0.005509,7.2e-05,0.000717,0.000517,0.000709,0.00401,0.032686,0.007955,0.022336,0.002394,4,-92.373123,34.969704,224.5,128.833
"5","     California",39250017,2363881,0.060226241,0.004453,4.9e-05,0.000349,0.000259,0.001396,0.002659,0.02553,0.004798,0.01623,0.004503,5.5,-119.681564,36.116203,1274,927
"6","     Colorado",5540545,344285,0.062139194,0.003426,3.7e-05,0.000642,0.000473,0.000637,0.002111,0.027407,0.004314,0.019553,0.00354,3.2,-105.311104,39.059811,188.833,132.667
"7","     Connecticut",3576452,146135,0.040860327,0.002271,2.2e-05,0.000213,0.000157,0.000756,0.00128,0.01808,0.002809,0.013285,0.001987,5.1,-72.755371,41.597782,209.667,56.833
"8","     Delaware",952065,62577,0.065727655,0.005088,5.9e-05,0.000324,0.000232,0.001427,0.003278,0.02766,0.005276,0.020787,0.001597,4.5,-75.507141,39.318523,142.167,36.167
"9","     District of Columbia",681170,82261,0.120764273,0.012059,0.000204,0.000781,0.000589,0.005109,0.005965,0.048029,0.003466,0.040198,0.004365,6.1,-77.026817,38.897438,235.833,76.5
"10","     Florida",20612439,1290552,0.062610349,0.004303,5.4e-05,0.000369,0.000268,0.000979,0.002902,0.026868,0.004867,0.019908,0.002093,4.8,-81.686783,27.766279,1178.667,651.5
"11","     Georgia",10310371,704048,0.068285419,0.003976,6.6e-05,0.00034,0.000245,0.001184,0.002385,0.030045,0.006144,0.021301,0.002599,5.4,-83.643074,33.040619,676,409.333
"12","     Hawaii",1428557,94787,0.06635157,0.003092,2.5e-05,0.000433,0.000313,0.000696,0.001938,0.029927,0.004212,0.021758,0.003958,3,-157.498337,21.094318,14.167,10.5
"13","     Idaho",1683140,66995,0.039803581,0.002303,2.9e-05,0.000427,0.000314,0.000127,0.00172,0.017442,0.003754,0.012454,0.001234,3.8,-114.478828,44.240459,24.833,27.667
"14","     Illinois",12801539,639955,0.049990474,0.004363,8.2e-05,0.000383,0.000284,0.001393,0.002505,0.02049,0.003749,0.015186,0.001555,5.8,-88.986137,40.349457,2252.333,568.167
"15","     Indiana",6633053,399059,0.060162191,0.004047,6.6e-05,0.000377,0.000279,0.001105,0.002499,0.025894,0.00514,0.018533,0.002221,4.4,-86.258278,39.849426,492.667,268
"16","     Iowa",3134693,149924,0.047827331,0.002906,2.3e-05,0.000398,0.000294,0.000366,0.00212,0.02086,0.004795,0.014476,0.00159,3.6,-93.210526,42.011539,136.833,45.5
"17","     Kansas",2907289,179825,0.061853156,0.003804,3.8e-05,0.000451,0.000334,0.000575,0.00274,0.026955,0.004941,0.019629,0.002386,4,-96.726486,38.5266,155.167,90.333
"18","     Kentucky",4436974,216106,0.048705717,0.002323,5.9e-05,0.00037,0.000265,0.000759,0.001135,0.021897,0.004696,0.014974,0.002228,5.1,-84.670067,37.66814,315.667,177.667
"19","     Louisiana",4681666,363104,0.077558715,0.005661,0.000118,0.000388,0.000284,0.001191,0.003964,0.032977,0.007405,0.023363,0.002208,6.1,-91.867805,31.169546,733,363.167
"20","     Maine",1331479,47420,0.035614531,0.001238,1.5e-05,0.000309,0.000225,2e-04,0.000713,0.016457,0.003006,0.012868,0.000582,3.8,-69.381927,44.693947,22,18.667
"21","     Maryland",6016447,332956,0.055340968,0.00472,8e-05,0.000292,0.00021,0.00171,0.002638,0.022845,0.004104,0.016774,0.001967,4.5,-76.802101,39.063946,527.833,281.833
"22","     Massachusetts",6811779,265624,0.038994806,0.003769,2e-05,0.000312,0.000234,0.000788,0.00265,0.015611,0.002818,0.01161,0.001183,3.9,-71.530106,42.230171,283.5,78.667
"23","     Michigan",9928300,475498,0.047893194,0.00459,6e-05,0.000718,0.000515,0.000717,0.003095,0.019099,0.003985,0.013081,0.002032,5,-84.536095,43.326618,498.333,264.667
"24","     Minnesota",5519952,264031,0.047832119,0.002426,1.8e-05,0.000425,0.000314,0.000675,0.001307,0.021333,0.003371,0.016381,0.001581,3.9,-93.900192,45.694454,152.667,76.833
"25","     Mississippi",2988726,183135,0.061275272,0.002805,8e-05,0.000427,0.000303,0.000802,0.001496,0.027681,0.007814,0.018421,0.001447,5.8,-89.678696,32.741646,313.833,196
"26","     Missouri",6093000,406270,0.066678155,0.005194,8.8e-05,0.000419,0.000309,0.001078,0.003608,0.027991,0.005204,0.019784,0.003003,4.6,-92.288368,38.456085,597.5,356
"27","     Montana",1042520,64046,0.061433833,0.003683,3.5e-05,0.000554,0.000397,0.000255,0.002839,0.026835,0.003774,0.02043,0.002631,4.1,-110.454353,46.921925,22.667,25.667
"28","     Nebraska",1907116,98164,0.051472485,0.00291,2.6e-05,0.000521,0.000387,0.000496,0.001867,0.022633,0.003379,0.016776,0.002478,3.1,-98.268082,41.12537,112.333,37.5
"29","     Nevada",2940058,193258,0.065732717,0.006781,7.6e-05,0.000589,0.000439,0.002156,0.003959,0.025866,0.006411,0.014971,0.004483,5.7,-117.055374,38.313515,158.5,133.167
"30","     New Hampshire",1334795,46085,0.034525901,0.001976,1.3e-05,0.000436,0.000317,0.00032,0.001207,0.015129,0.00222,0.012257,0.000653,2.9,-71.563896,43.452492,24,14.667
"31","     New Jersey",8944469,321221,0.035912808,0.00245,4.2e-05,0.000162,0.000122,0.001004,0.001242,0.015446,0.002827,0.011352,0.001266,5,-74.521011,40.298904,423.333,194.667
"32","     New Mexico",2081015,194217,0.093328015,0.007025,6.7e-05,0.000733,0.000537,0.001315,0.00491,0.039371,0.008304,0.025424,0.005643,6.6,-106.248482,34.840515,90.5,82.5
"33","     New York",19745289,763501,0.038667502,0.003762,3.2e-05,0.000317,0.000231,0.00113,0.002283,0.015456,0.002017,0.01271,0.000729,4.9,-74.948051,42.165726,843.167,284.167
"34","     North Carolina",10146788,633154,0.062399451,0.003722,6.7e-05,0.000281,0.000206,0.00092,0.002455,0.027375,0.007104,0.018762,0.001508,5.1,-79.806419,35.630066,771.5,370.833
"35","     North Dakota",757952,38866,0.051277653,0.002511,2e-05,0.000451,0.000338,0.000239,0.001801,0.022959,0.004279,0.016089,0.002591,3.1,-99.784012,47.528912,21.667,11.5
"36","     Ohio",11614373,672609,0.057911779,0.003003,5.6e-05,0.000481,0.000357,0.001078,0.001387,0.025775,0.005759,0.018323,0.001693,5,-82.764915,40.388783,950.5,418
"37","     Oklahoma",3923561,270879,0.069039069,0.004498,6.2e-05,0.00052,0.000385,0.000806,0.00311,0.029829,0.007417,0.019314,0.003098,4.8,-96.928917,35.565342,258.333,156.833
"38","     Oregon",4093465,265611,0.064886594,0.002646,2.8e-05,0.00042,0.000308,0.000556,0.001641,0.029644,0.00412,0.0223,0.003223,4.8,-122.070938,44.572021,115.667,74.333
"39","     Pennsylvania",12784227,529717,0.0414352,0.003164,5.2e-05,0.000347,0.000253,0.000964,0.001801,0.017427,0.002778,0.013628,0.001021,5.4,-77.209755,40.590752,842.667,399.167
"40","     Rhode Island",1056426,45492,0.043062174,0.002389,2.7e-05,0.000418,0.00031,0.000511,0.001432,0.018987,0.003586,0.01389,0.001511,5.2,-71.51178,41.680893,57.667,10.5
"41","     South Carolina",4961119,373359,0.075257014,0.005018,7.4e-05,0.000481,0.000345,0.000813,0.00365,0.032438,0.006647,0.022985,0.002806,5,-80.945007,33.856892,514,268.333
"42","     South Dakota",865454,41903,0.048417362,0.004184,3.1e-05,0.000588,0.000438,0.000314,0.00325,0.019806,0.003466,0.014604,0.001736,3,-99.438828,44.299782,19,15
"43","     Tennessee",6651194,465855,0.070040808,0.006329,7.3e-05,0.000408,0.000299,0.001175,0.004673,0.028541,0.006061,0.020207,0.002273,4.7,-86.692345,35.747845,746.333,304
"44","     Texas",27862596,1789836,0.064237948,0.004344,5.3e-05,0.00048,0.000354,0.001196,0.002616,0.027598,0.005338,0.019781,0.002478,4.6,-97.563461,31.054487,1017.667,841
"45","     Utah",3051217,196046,0.06425174,0.002428,2.4e-05,0.000498,0.000366,0.000505,0.001401,0.029515,0.004207,0.022232,0.003077,3.4,-111.862434,40.150032,67,47
"46","     Vermont",624594,23306,0.037313839,0.001583,2.2e-05,0.000285,0.000199,0.00017,0.001106,0.016974,0.003367,0.013156,0.000451,3.2,-72.710686,44.045876,12.167,9.5
"47","     Virginia",8411808,351393,0.041773778,0.002176,5.8e-05,0.000325,0.000234,0.000571,0.001222,0.018594,0.00238,0.015051,0.001164,4.1,-78.169968,37.769337,594.333,243.167
"48","     Washington",7288000,555611,0.076236416,0.003022,2.7e-05,0.000422,0.00031,0.000775,0.001797,0.034941,0.006748,0.023763,0.00443,5.3,-121.490494,47.400902,214.5,142.167
"49","     West Virginia",1831102,88556,0.048362134,0.003581,4.4e-05,0.000359,0.000256,0.000393,0.002785,0.020472,0.005079,0.014023,0.00137,6.1,-80.954453,38.491226,108.167,55.833
"50","     Wisconsin",5778708,260256,0.045037057,0.003059,4e-05,0.000342,0.000252,0.000814,0.001863,0.019333,0.003361,0.014248,0.001723,4,-89.616508,44.268543,352.833,143.667
"51","     Wyoming",585501,25930,0.044286859,0.002442,3.4e-05,0.00035,0.000256,0.000101,0.001957,0.019573,0.003025,0.015182,0.001366,5.3,-107.30249,42.755966,8.667,12.167
