"","Offense_charged","Race","Rate"
"1","Murder and nonnegligent manslaughter","White",44.7
"2","Rape","White",67.6
"3","Robbery","White",43.4
"4","Aggravated assault","White",62.8
"5","Burglary","White",68.4
"6","Larceny-theft","White",69
"7","Motor vehicle theft","White",66
"8","Arson","White",72
"9","Violent crime","White",59
"10","Property crime","White",68.7
"11","Other assaults","White",65.2
"12","Forgery and counterfeiting","White",65.5
"13","Fraud","White",67
"14","Embezzlement","White",61.4
"15","Stolen property; buying, receiving, possessing","White",64.2
"16","Vandalism","White",68.4
"17","Weapons; carrying, possessing, etc.","White",55.9
"18","Prostitution and commercialized vice","White",55.5
"19","Sex offenses (except rape and prostitution)","White",71.6
"20","Drug abuse violations","White",71
"21","Gambling","White",45
"22","Offenses against the family and children","White",67.1
"23","Driving under the influence","White",82.2
"24","Liquor laws","White",79.2
"25","Drunkenness","White",76.5
"26","Disorderly conduct","White",63.3
"27","Vagrancy","White",66
"28","All other offenses (except traffic)","White",69.2
"29","Suspicion","White",35
"30","Curfew and loitering law violations","White",56.3
"31","Murder and nonnegligent manslaughter","Black_or_African_American",52.6
"32","Rape","Black_or_African_American",29.1
"33","Robbery","Black_or_African_American",54.5
"34","Aggravated assault","Black_or_African_American",33.3
"35","Burglary","Black_or_African_American",29.1
"36","Larceny-theft","Black_or_African_American",27.7
"37","Motor vehicle theft","Black_or_African_American",30.7
"38","Arson","Black_or_African_American",23.3
"39","Violent crime","Black_or_African_American",37.5
"40","Property crime","Black_or_African_American",28.1
"41","Other assaults","Black_or_African_American",31.4
"42","Forgery and counterfeiting","Black_or_African_American",31.9
"43","Fraud","Black_or_African_American",30.5
"44","Embezzlement","Black_or_African_American",35.8
"45","Stolen property; buying, receiving, possessing","Black_or_African_American",33.4
"46","Vandalism","Black_or_African_American",28.1
"47","Weapons; carrying, possessing, etc.","Black_or_African_American",41.8
"48","Prostitution and commercialized vice","Black_or_African_American",37.9
"49","Sex offenses (except rape and prostitution)","Black_or_African_American",24.7
"50","Drug abuse violations","Black_or_African_American",26.7
"51","Gambling","Black_or_African_American",48.4
"52","Offenses against the family and children","Black_or_African_American",29.1
"53","Driving under the influence","Black_or_African_American",13.6
"54","Liquor laws","Black_or_African_American",14.5
"55","Drunkenness","Black_or_African_American",14.7
"56","Disorderly conduct","Black_or_African_American",32.2
"57","Vagrancy","Black_or_African_American",30.7
"58","All other offenses (except traffic)","Black_or_African_American",27.4
"59","Suspicion","Black_or_African_American",30.7
"60","Curfew and loitering law violations","Black_or_African_American",40.7
"61","Murder and nonnegligent manslaughter","American_Indian_or_Alaska_Native",1.2
"62","Rape","American_Indian_or_Alaska_Native",1.3
"63","Robbery","American_Indian_or_Alaska_Native",0.9
"64","Aggravated assault","American_Indian_or_Alaska_Native",2.1
"65","Burglary","American_Indian_or_Alaska_Native",1
"66","Larceny-theft","American_Indian_or_Alaska_Native",1.8
"67","Motor vehicle theft","American_Indian_or_Alaska_Native",1.5
"68","Arson","American_Indian_or_Alaska_Native",2.8
"69","Violent crime","American_Indian_or_Alaska_Native",1.8
"70","Property crime","American_Indian_or_Alaska_Native",1.7
"71","Other assaults","American_Indian_or_Alaska_Native",1.8
"72","Forgery and counterfeiting","American_Indian_or_Alaska_Native",0.6
"73","Fraud","American_Indian_or_Alaska_Native",1.2
"74","Embezzlement","American_Indian_or_Alaska_Native",0.8
"75","Stolen property; buying, receiving, possessing","American_Indian_or_Alaska_Native",1.2
"76","Vandalism","American_Indian_or_Alaska_Native",2.2
"77","Weapons; carrying, possessing, etc.","American_Indian_or_Alaska_Native",0.9
